Inicio
PROGRESSBAR___:  0 | REORDERPLAYLIST___:  0
MP3___:  0 | REMOVETRACK___:  1
VOLUMECONTROL___:  1 | SKIPTRACK___:  0
MP3___:  0 | SHOWTIME___:  0
SKINS___:  1 | CHOOSEFILE___:  1
VOLUMECONTROL___:  1 | SKIPTRACK___:  1
MP3___:  0 | SHOWTIME___:  1
SKINS___:  1 | CHOOSEFILE___:  0
MUTE___:  1 | PLAYENGINE___:  0
MUTE___:  1 | PLAYENGINE___:  1
MUTE___:  1 | SKIPTRACK___:  1
CONTROL___:  0 | SHOWCOVER___:  1
MUTE___:  1 | SKIPTRACK___:  0
CONTROL___:  0 | SHOWCOVER___:  0
MP3___:  0 | REMOVETRACK___:  0
PROGRESSBAR___:  0 | REORDERPLAYLIST___:  1
FILESUPPORT___:  1 | SHUFFLEREPEAT___:  1
FILESUPPORT___:  0 | MP3___:  1
FILESUPPORT___:  1 | SHUFFLEREPEAT___:  0
FILESUPPORT___:  0 | MP3___:  0
QUEUETRACK___:  0 | LOADFOLDER___:  0
QUEUETRACK___:  0 | LOADFOLDER___:  1
GUI___:  1 | LOADFOLDER___:  1
GUI___:  1 | LOADFOLDER___:  0
OGG___:  1 | REORDERPLAYLIST___:  1
OGG___:  1 | REORDERPLAYLIST___:  0
PLAYENGINE___:  1 | SKINS___:  1
TRACKTIME___:  0 | REMOVETRACK___:  1
MUTE___:  0 | CHOOSEFILE___:  1
CLEARPLAYLIST___:  0 | GUI___:  1
MUTE___:  0 | CHOOSEFILE___:  0
CLEARPLAYLIST___:  0 | GUI___:  0
FILESUPPORT___:  1 | PLAYLIST___:  0
FILESUPPORT___:  1 | PLAYLIST___:  1
CONTROL___:  0 | QUEUETRACK___:  0
CONTROL___:  0 | QUEUETRACK___:  1
TRACKTIME___:  1 | WAV___:  0
TRACKTIME___:  1 | WAV___:  1
SHOWTIME___:  1 | CHOOSEFILE___:  0
SHOWTIME___:  1 | CHOOSEFILE___:  1
MP3___:  0 | SKIPTRACK___:  1
MP3___:  0 | SKIPTRACK___:  0
TRACKTIME___:  0 | REMOVETRACK___:  0
REMOVETRACK___:  1 | GUI___:  1
